,Unnamed: 0,user_id,type,submitdate,positive_affect_score,negative_affect_score
0,1,1,panas,2021-07-26,37,14
1,2,1,panas,2021-05-31,38,12
2,3,1,panas,2021-06-07,37,12
3,4,1,panas,2021-06-28,31,12
4,5,1,panas,2021-07-19,37,12
5,0,2,panas,2021-11-29,28,35
6,1,2,panas,2021-12-06,32,21
7,2,2,panas,2021-12-13,26,17
8,4,2,panas,2022-01-10,27,12
9,5,2,panas,2022-01-05,33,21
10,6,2,panas,2022-01-07,26,16
11,0,3,panas,2021-06-07,28,20
12,1,3,panas,2021-06-22,33,19
13,2,3,panas,2021-07-17,26,40
14,3,3,panas,2021-07-30,24,20
15,4,3,panas,2021-06-30,35,23
16,0,7,panas,2021-05-31,30,12
17,1,7,panas,2021-06-07,29,13
18,2,7,panas,2021-06-22,30,15
19,3,7,panas,2021-07-05,28,31
20,4,7,panas,2021-07-13,29,24
21,5,7,panas,2021-07-26,29,24
22,6,7,panas,2021-06-15,31,15
23,7,7,panas,2021-06-28,30,11
24,8,7,panas,2021-07-20,25,32
25,0,9,panas,2021-06-08,31,26
26,1,9,panas,2021-06-14,28,18
27,2,9,panas,2021-06-23,19,29
28,3,9,panas,2021-06-29,18,28
29,4,9,panas,2021-08-02,18,26
30,5,9,panas,2021-06-01,30,18
31,6,9,panas,2021-07-15,27,27
32,0,10,panas,2021-05-31,21,13
33,1,10,panas,2021-06-20,38,16
34,2,10,panas,2021-06-22,40,15
35,3,10,panas,2021-06-28,39,17
36,4,10,panas,2021-07-06,32,26
37,5,10,panas,2021-07-13,35,16
38,6,10,panas,2021-07-19,38,23
39,7,10,panas,2021-06-08,32,17
40,8,10,panas,2021-07-30,43,18
41,0,11,panas,2021-12-12,30,45
42,1,11,panas,2021-12-26,43,26
43,2,11,panas,2022-01-16,43,31
44,3,11,panas,2021-11-28,40,29
45,4,11,panas,2022-01-09,39,36
46,0,12,panas,2021-06-07,37,16
47,2,12,panas,2021-06-28,25,27
48,3,12,panas,2021-07-12,29,22
49,4,12,panas,2021-07-20,27,17
50,5,12,panas,2021-07-26,28,14
51,6,12,panas,2021-05-31,35,17
52,7,12,panas,2021-06-22,35,19
53,8,12,panas,2021-07-05,32,21
54,0,13,panas,2021-05-31,24,21
55,1,13,panas,2021-07-05,33,21
56,2,13,panas,2021-07-20,20,18
57,3,13,panas,2021-07-26,28,15
58,4,13,panas,2021-06-24,27,13
59,0,14,panas,2021-12-13,21,20
60,1,14,panas,2021-12-28,22,25
61,2,14,panas,2021-11-29,19,27
62,3,14,panas,2021-12-01,16,35
63,4,14,panas,2021-12-06,21,19
64,5,14,panas,2021-12-20,21,16
65,6,14,panas,2022-01-03,18,17
66,7,14,panas,2022-01-10,16,21
67,0,15,panas,2021-12-20,30,22
68,1,15,panas,2021-12-13,29,22
69,2,15,panas,2021-12-27,29,20
70,3,15,panas,2022-01-03,32,21
71,4,15,panas,2022-01-10,32,22
72,0,16,panas,2021-06-01,32,14
73,1,16,panas,2021-06-20,33,24
74,2,16,panas,2021-06-08,33,13
75,3,16,panas,2021-06-29,32,17
76,4,16,panas,2021-07-13,33,13
