,Unnamed: 0,user_id,type,submitdate,extraversion,agreeableness,conscientiousness,stability,intellect,gender,ipip_extraversion_category,ipip_agreeableness_category,ipip_conscientiousness_category,ipip_stability_category,ipip_intellect_category
0,0,1,bfpt,2021-05-31,21.0,33.0,45.0,42.0,40.0,MALE,LOW,LOW,HIGH,HIGH,AVERAGE
1,1,2,bfpt,2021-11-29,32.0,45.0,30.0,18.0,41.0,FEMALE,AVERAGE,HIGH,AVERAGE,LOW,HIGH
2,2,3,bfpt,2021-06-07,40.0,43.0,22.0,28.0,34.0,FEMALE,HIGH,AVERAGE,LOW,AVERAGE,AVERAGE
3,3,7,bfpt,2021-05-31,25.0,34.0,30.0,39.0,37.0,MALE,AVERAGE,AVERAGE,LOW,HIGH,AVERAGE
4,4,9,bfpt,2021-06-01,41.0,41.0,30.0,34.0,30.0,FEMALE,HIGH,AVERAGE,AVERAGE,HIGH,LOW
5,5,10,bfpt,2021-05-31,29.0,38.0,43.0,39.0,35.0,MALE,AVERAGE,AVERAGE,HIGH,HIGH,AVERAGE
6,6,11,bfpt,2021-11-28,21.0,45.0,31.0,18.0,39.0,FEMALE,LOW,HIGH,AVERAGE,LOW,HIGH
7,7,12,bfpt,2021-05-31,37.0,36.0,29.0,27.0,41.0,MALE,HIGH,AVERAGE,LOW,LOW,HIGH
8,8,13,bfpt,2021-05-31,34.0,42.0,35.0,27.0,35.0,MALE,HIGH,HIGH,AVERAGE,LOW,AVERAGE
9,9,14,bfpt,2021-11-29,33.0,44.0,23.0,11.0,30.0,FEMALE,AVERAGE,HIGH,LOW,LOW,LOW
10,10,16,bfpt,2021-06-01,26.0,36.0,31.0,39.0,36.0,MALE,AVERAGE,AVERAGE,AVERAGE,HIGH,AVERAGE
11,11,17,bfpt,2021-05-31,35.0,44.0,40.0,19.0,35.0,FEMALE,AVERAGE,HIGH,HIGH,LOW,AVERAGE
12,12,21,bfpt,2021-06-04,34.0,40.0,26.0,24.0,39.0,FEMALE,AVERAGE,AVERAGE,LOW,AVERAGE,HIGH
13,13,22,bfpt,2021-11-23,38.0,42.0,27.0,33.0,35.0,MALE,HIGH,HIGH,LOW,AVERAGE,AVERAGE
14,14,23,bfpt,2021-06-06,34.0,20.0,22.0,13.0,27.0,MALE,HIGH,LOW,LOW,LOW,LOW
15,15,24,bfpt,2021-11-29,28.0,40.0,34.0,29.0,36.0,MALE,AVERAGE,HIGH,AVERAGE,AVERAGE,AVERAGE
16,16,25,bfpt,2021-12-03,43.0,48.0,31.0,30.0,41.0,FEMALE,HIGH,HIGH,AVERAGE,AVERAGE,HIGH
17,17,26,bfpt,2021-11-22,25.0,33.0,40.0,30.0,33.0,MALE,AVERAGE,LOW,HIGH,AVERAGE,LOW
18,18,27,bfpt,2021-05-31,20.0,40.0,39.0,42.0,35.0,MALE,LOW,HIGH,HIGH,HIGH,AVERAGE
19,19,30,bfpt,2021-11-23,39.0,44.0,32.0,33.0,38.0,MALE,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE
20,20,31,bfpt,2021-11-27,32.0,39.0,41.0,46.0,37.0,MALE,AVERAGE,AVERAGE,HIGH,HIGH,AVERAGE
21,21,33,bfpt,2021-05-31,37.0,39.0,39.0,27.0,30.0,MALE,HIGH,AVERAGE,HIGH,LOW,LOW
22,22,34,bfpt,2021-05-31,29.0,47.0,39.0,31.0,40.0,MALE,AVERAGE,HIGH,HIGH,AVERAGE,AVERAGE
23,23,35,bfpt,2021-05-31,18.0,36.0,46.0,18.0,43.0,MALE,LOW,AVERAGE,HIGH,LOW,HIGH
24,24,36,bfpt,2021-12-09,21.0,36.0,27.0,33.0,33.0,FEMALE,LOW,LOW,LOW,HIGH,LOW
25,25,37,bfpt,2021-05-31,34.0,34.0,39.0,33.0,46.0,MALE,HIGH,AVERAGE,HIGH,AVERAGE,HIGH
26,26,39,bfpt,2021-11-23,19.0,40.0,41.0,25.0,35.0,FEMALE,LOW,AVERAGE,HIGH,AVERAGE,AVERAGE
27,27,40,bfpt,2021-06-02,22.0,32.0,26.0,31.0,46.0,MALE,LOW,LOW,LOW,AVERAGE,HIGH
28,28,41,bfpt,2021-11-23,30.0,41.0,36.0,24.0,34.0,MALE,AVERAGE,HIGH,AVERAGE,LOW,LOW
29,29,42,bfpt,2021-11-27,22.0,37.0,39.0,24.0,48.0,MALE,LOW,AVERAGE,HIGH,LOW,HIGH
30,30,43,bfpt,2021-05-31,21.0,29.0,39.0,31.0,28.0,FEMALE,LOW,LOW,HIGH,AVERAGE,LOW
31,31,44,bfpt,2021-06-07,22.0,30.0,24.0,24.0,46.0,MALE,LOW,LOW,LOW,LOW,HIGH
32,32,45,bfpt,2021-11-22,35.0,45.0,29.0,44.0,35.0,FEMALE,AVERAGE,HIGH,AVERAGE,HIGH,AVERAGE
33,34,46,bfpt,2021-06-08,45.0,49.0,41.0,36.0,45.0,MALE,HIGH,HIGH,HIGH,HIGH,HIGH
34,35,47,bfpt,2021-11-24,16.0,31.0,41.0,37.0,28.0,MALE,LOW,LOW,HIGH,HIGH,LOW
35,36,48,bfpt,2021-06-03,39.0,48.0,35.0,42.0,44.0,MALE,HIGH,HIGH,AVERAGE,HIGH,HIGH
36,37,50,bfpt,2021-05-31,19.0,30.0,25.0,21.0,30.0,MALE,LOW,LOW,LOW,LOW,LOW
37,38,54,bfpt,2021-11-24,35.0,44.0,21.0,33.0,35.0,FEMALE,AVERAGE,HIGH,LOW,HIGH,AVERAGE
38,39,56,bfpt,2021-05-31,28.0,45.0,35.0,36.0,41.0,FEMALE,AVERAGE,HIGH,AVERAGE,HIGH,HIGH
39,40,57,bfpt,2021-06-02,31.0,29.0,25.0,30.0,30.0,MALE,AVERAGE,LOW,LOW,AVERAGE,LOW
40,41,58,bfpt,2021-06-07,40.0,42.0,43.0,32.0,37.0,FEMALE,HIGH,AVERAGE,HIGH,HIGH,AVERAGE
41,42,61,bfpt,2021-11-24,26.0,38.0,41.0,25.0,39.0,FEMALE,LOW,LOW,HIGH,AVERAGE,HIGH
42,43,63,bfpt,2021-06-02,19.0,36.0,28.0,35.0,35.0,FEMALE,LOW,LOW,LOW,HIGH,AVERAGE
43,45,64,bfpt,2021-11-22,30.0,36.0,41.0,33.0,37.0,MALE,AVERAGE,AVERAGE,HIGH,AVERAGE,AVERAGE
44,46,65,bfpt,2021-11-24,13.0,26.0,28.0,28.0,34.0,MALE,LOW,LOW,LOW,AVERAGE,LOW
45,47,66,bfpt,2021-06-02,41.0,29.0,33.0,17.0,30.0,FEMALE,HIGH,LOW,AVERAGE,LOW,LOW
46,48,67,bfpt,2021-05-31,39.0,36.0,23.0,40.0,28.0,MALE,HIGH,AVERAGE,LOW,HIGH,LOW
47,49,68,bfpt,2021-07-21,33.0,34.0,36.0,32.0,38.0,MALE,HIGH,AVERAGE,AVERAGE,AVERAGE,AVERAGE
48,50,69,bfpt,2021-05-31,42.0,42.0,38.0,31.0,41.0,FEMALE,HIGH,AVERAGE,HIGH,AVERAGE,HIGH
49,52,71,bfpt,2021-06-01,34.0,46.0,33.0,18.0,40.0,FEMALE,AVERAGE,HIGH,AVERAGE,LOW,HIGH
